

           p           t          cp           h           m          mw         gam         rho
   4.0000E+00  1.0000E+03  5.2033E-01  3.6520E+02  0.0000E+00  3.9948E+01  1.6667E+00  1.9218E+00
   4.0000E+00  2.0000E+03  5.2033E-01  8.8553E+02  0.0000E+00  3.9948E+01  1.6667E+00  9.6092E-01
   4.0000E+00  3.0000E+03  5.2033E-01  1.4059E+03  0.0000E+00  3.9948E+01  1.6667E+00  6.4062E-01
   4.0000E+00  4.0000E+03  5.2033E-01  1.9262E+03  0.0000E+00  3.9948E+01  1.6667E+00  4.8046E-01
   4.0000E+00  5.0000E+03  5.2041E-01  2.4465E+03  0.0000E+00  3.9948E+01  1.6665E+00  3.8437E-01
   4.0000E+00  6.0000E+03  5.2171E-01  2.9674E+03  0.0000E+00  3.9948E+01  1.6642E+00  3.2030E-01
   4.0000E+00  7.0000E+03  5.3154E-01  3.4933E+03  0.0000E+00  3.9943E+01  1.6475E+00  2.7451E-01
   4.0000E+00  8.0000E+03  5.7336E-01  4.0411E+03  0.0000E+00  3.9916E+01  1.5879E+00  2.4004E-01
   4.0000E+00  9.0000E+03  7.0133E-01  4.6684E+03  0.0000E+00  3.9818E+01  1.4679E+00  2.1284E-01
   4.0000E+00  1.0000E+04  9.9628E-01  5.4991E+03  0.0000E+00  3.9539E+01  1.3394E+00  1.9022E-01
   4.0000E+00  1.1000E+04  1.5656E+00  6.7523E+03  0.0000E+00  3.8904E+01  1.2506E+00  1.7015E-01
   4.0000E+00  1.2000E+04  2.5253E+00  8.7607E+03  0.0000E+00  3.7692E+01  1.2026E+00  1.5111E-01
   4.0000E+00  1.3000E+04  3.9547E+00  1.1961E+04  0.0000E+00  3.5718E+01  1.1805E+00  1.3218E-01
   4.0000E+00  1.4000E+04  5.7793E+00  1.6806E+04  0.0000E+00  3.2972E+01  1.1729E+00  1.1330E-01
   4.0000E+00  1.5000E+04  7.5527E+00  2.3509E+04  0.0000E+00  2.9750E+01  1.1739E+00  9.5417E-02
   4.0000E+00  1.6000E+04  8.3930E+00  3.1598E+04  0.0000E+00  2.6617E+01  1.1817E+00  8.0032E-02
   4.0000E+00  1.7000E+04  7.6828E+00  3.9762E+04  0.0000E+00  2.4105E+01  1.1967E+00  6.8215E-02
   4.0000E+00  1.8000E+04  5.9376E+00  4.6613E+04  0.0000E+00  2.2405E+01  1.2212E+00  5.9881E-02
   4.0000E+00  1.9000E+04  4.1866E+00  5.1643E+04  0.0000E+00  2.1381E+01  1.2582E+00  5.4137E-02
   5.0000E+00  1.0000E+03  5.2033E-01  3.6520E+02  0.0000E+00  3.9948E+01  1.6667E+00  2.4023E+00
   5.0000E+00  2.0000E+03  5.2033E-01  8.8553E+02  0.0000E+00  3.9948E+01  1.6667E+00  1.2012E+00
   5.0000E+00  3.0000E+03  5.2033E-01  1.4059E+03  0.0000E+00  3.9948E+01  1.6667E+00  8.0077E-01
   5.0000E+00  4.0000E+03  5.2033E-01  1.9262E+03  0.0000E+00  3.9948E+01  1.6667E+00  6.0058E-01
   5.0000E+00  5.0000E+03  5.2040E-01  2.4465E+03  0.0000E+00  3.9948E+01  1.6665E+00  4.8046E-01
   5.0000E+00  6.0000E+03  5.2157E-01  2.9673E+03  0.0000E+00  3.9948E+01  1.6644E+00  4.0038E-01
   5.0000E+00  7.0000E+03  5.3036E-01  3.4927E+03  0.0000E+00  3.9943E+01  1.6495E+00  3.4315E-01
   5.0000E+00  8.0000E+03  5.6770E-01  4.0376E+03  0.0000E+00  3.9920E+01  1.5953E+00  3.0008E-01
   5.0000E+00  9.0000E+03  6.8231E-01  4.6535E+03  0.0000E+00  3.9831E+01  1.4820E+00  2.6614E-01
   5.0000E+00  1.0000E+04  9.4633E-01  5.4517E+03  0.0000E+00  3.9582E+01  1.3547E+00  2.3803E-01
   5.0000E+00  1.1000E+04  1.4560E+00  6.6280E+03  0.0000E+00  3.9012E+01  1.2623E+00  2.1327E-01
   5.0000E+00  1.2000E+04  2.3167E+00  8.4809E+03  0.0000E+00  3.7918E+01  1.2104E+00  1.9002E-01
   5.0000E+00  1.3000E+04  3.6075E+00  1.1406E+04  0.0000E+00  3.6117E+01  1.1854E+00  1.6707E-01
   5.0000E+00  1.4000E+04  5.2920E+00  1.5830E+04  0.0000E+00  3.3567E+01  1.1758E+00  1.4418E-01
   5.0000E+00  1.5000E+04  7.0421E+00  2.2017E+04  0.0000E+00  3.0489E+01  1.1753E+00  1.2223E-01
   5.0000E+00  1.6000E+04  8.1228E+00  2.9692E+04  0.0000E+00  2.7368E+01  1.1815E+00  1.0286E-01
   5.0000E+00  1.7000E+04  7.8331E+00  3.7794E+04  0.0000E+00  2.4735E+01  1.1944E+00  8.7498E-02
   5.0000E+00  1.8000E+04  6.3654E+00  4.4956E+04  0.0000E+00  2.2858E+01  1.2157E+00  7.6365E-02
   5.0000E+00  1.9000E+04  4.6329E+00  5.0441E+04  0.0000E+00  2.1677E+01  1.2480E+00  6.8608E-02
   6.0000E+00  1.0000E+03  5.2033E-01  3.6520E+02  0.0000E+00  3.9948E+01  1.6667E+00  2.8828E+00
   6.0000E+00  2.0000E+03  5.2033E-01  8.8553E+02  0.0000E+00  3.9948E+01  1.6667E+00  1.4414E+00
   6.0000E+00  3.0000E+03  5.2033E-01  1.4059E+03  0.0000E+00  3.9948E+01  1.6667E+00  9.6092E-01
   6.0000E+00  4.0000E+03  5.2033E-01  1.9262E+03  0.0000E+00  3.9948E+01  1.6667E+00  7.2069E-01
