Relative Time,Date,Time Stamp UTC,Volt,Volt,Volt,Volt,Chn 1 Events
1.08,2023-07-21,6:32:34 PM,1.123657227,0.000305176,-0.000915527,0.000305176,
1.09,2023-07-21,6:32:34 PM,1.121520996,0.000305176,-0.000915527,0.000305176,
1.1,2023-07-21,6:32:34 PM,1.118469238,0.000305176,-0.000915527,0.000305176,
1.11,2023-07-21,6:32:34 PM,1.113891602,0.000305176,-0.000915527,0,
1.12,2023-07-21,6:32:34 PM,1.109313965,0.000305176,-0.001220703,0,
1.13,2023-07-21,6:32:34 PM,1.105041504,0.000305176,-0.001220703,0,
1.14,2023-07-21,6:32:34 PM,1.101379395,0.000305176,-0.001220703,0,
1.15,2023-07-21,6:32:34 PM,1.09954834,0.000305176,-0.001220703,0,
1.16,2023-07-21,6:32:34 PM,1.099243164,0.000610352,-0.001220703,0.000305176,
1.17,2023-07-21,6:32:34 PM,1.099853516,0.000305176,-0.001220703,0.000305176,
1.18,2023-07-21,6:32:34 PM,1.100463867,0.000305176,-0.001220703,0.000305176,
1.19,2023-07-21,6:32:34 PM,1.101074219,0.000305176,-0.001220703,0.000305176,
1.2,2023-07-21,6:32:34 PM,1.100463867,0.000305176,-0.001220703,0.000305176,
1.21,2023-07-21,6:32:34 PM,1.098022461,0.000305176,-0.001220703,0.000305176,
1.22,2023-07-21,6:32:34 PM,1.094360352,0.000305176,-0.001220703,0.000305176,
1.23,2023-07-21,6:32:34 PM,1.091308594,0.000305176,-0.001220703,0.000305176,
1.24,2023-07-21,6:32:34 PM,1.08795166,0.000305176,-0.001220703,0.000305176,
1.25,2023-07-21,6:32:34 PM,1.086425781,0.000305176,-0.001220703,0.000305176,
1.26,2023-07-21,6:32:34 PM,1.086730957,0.000305176,-0.001220703,0.000305176,
1.27,2023-07-21,6:32:34 PM,1.08795166,0.000305176,-0.001220703,0.000305176,
1.28,2023-07-21,6:32:34 PM,1.089172363,0.000305176,-0.001220703,0.000305176,
1.29,2023-07-21,6:32:34 PM,1.090087891,0.000305176,-0.001220703,0.000305176,
1.3,2023-07-21,6:32:34 PM,1.090087891,0.000305176,-0.001220703,0.000305176,
1.31,2023-07-21,6:32:34 PM,1.088562012,0.000305176,-0.001220703,0.000305176,
1.32,2023-07-21,6:32:34 PM,1.086120605,0.000305176,-0.001220703,0.000305176,
1.33,2023-07-21,6:32:34 PM,1.083068848,0.000305176,-0.001220703,0.000305176,
1.34,2023-07-21,6:32:34 PM,1.080627441,0.000305176,-0.001220703,0.000305176,
1.35,2023-07-21,6:32:34 PM,1.078796387,0.000305176,-0.001220703,0.000305176,
1.36,2023-07-21,6:32:34 PM,1.078491211,0.000305176,-0.001220703,0.000305176,
1.37,2023-07-21,6:32:34 PM,1.078186035,0.000305176,-0.000915527,0.000305176,
1.38,2023-07-21,6:32:34 PM,1.078491211,0.000305176,-0.000915527,0,
1.39,2023-07-21,6:32:34 PM,1.08001709,0.000305176,-0.001220703,0,
